nr,name,studierende_insg
08111,"Stuttgart, Stadt",99.1
08115,Böblingen,0
08116,Esslingen,15.4
08117,Göppingen,4.6
08118,Ludwigsburg,18.4
08119,Rems-Murr-Kreis,0
08121,"Heilbronn, Stadt",66.1
08125,Heilbronn,0
08126,Hohenlohekreis,13.3
08127,Schwäbisch Hall,5.4
08128,Main-Tauber-Kreis,4.2
08135,Heidenheim,18
08136,Ostalbkreis,30
08211,"Baden-Baden, Stadt",1.3
08212,"Karlsruhe, Stadt",133.6
08215,Karlsruhe,0
08216,Rastatt,0
08221,"Heidelberg, Stadt",218.7
08222,"Mannheim, Stadt",92.1
08225,Neckar-Odenwald-Kreis,21.9
08226,Rhein-Neckar-Kreis,1.2
08231,"Pforzheim, Stadt",49
08235,Calw,1.3
08236,Enzkreis,0
08237,Freudenstadt,8.2
08311,"Freiburg im Breisgau, Stadt",142.6
08315,Breisgau-Hochschwarzwald,0
08316,Emmendingen,0
08317,Ortenaukreis,13.2
08325,Rottweil,0
08326,Schwarzwald-Baar-Kreis,46.8
08327,Tuttlingen,7.6
08335,Konstanz,57.1
08336,Lörrach,9.1
08337,Waldshut,0
08415,Reutlingen,20.2
08416,Tübingen,125.7
08417,Zollernalbkreis,22
08421,"Ulm, Stadt",116.2
08425,Alb-Donau-Kreis,0
08426,Biberach,32.3
08435,Bodenseekreis,10.6
08436,Ravensburg,33.9
08437,Sigmaringen,11.7
09161,"Ingolstadt, Stadt",47.3
09162,"München, Stadt",73.1
09163,"Rosenheim, Stadt",86.2
09171,Altötting,1.6
09172,Berchtesgadener Land,0
09173,Bad Tölz-Wolfratshausen,5
09174,Dachau,0
09175,Ebersberg,0
09176,Eichstätt,31.5
09177,Erding,0
09178,Freising,49.4
09179,Fürstenfeldbruck,1.5
09180,Garmisch-Partenkirchen,0
09181,Landsberg am Lech,0
09182,Miesbach,0
09183,Mühldorf a.Inn,2.4
09184,München,55.5
09185,Neuburg-Schrobenhausen,0
09186,Pfaffenhofen a.d.Ilm,0
09187,Rosenheim,0.9
09188,Starnberg,13.1
09189,Traunstein,0
09190,Weilheim-Schongau,0
09261,"Landshut, Stadt",69.2
09262,"Passau, Stadt",246.1
09263,"Straubing, Stadt",10.4
09271,Deggendorf,54.1
09272,Freyung-Grafenau,0
09273,Kelheim,0
09274,Landshut,0
09275,Passau,0
09276,Regen,0
09277,Rottal-Inn,0
09278,Straubing-Bogen,0
09279,Dingolfing-Landau,0
09361,"Amberg, Stadt",39.3
09362,"Regensburg, Stadt",213.5
09363,"Weiden i.d.OPf., Stadt",33.7
09371,Amberg-Sulzbach,4.5
09372,Cham,0
09373,Neumarkt i.d.OPf.,0
09374,Neustadt a.d.Waldnaab,0
09375,Regensburg,0
09376,Schwandorf,0
09377,Tirschenreuth,0
09461,"Bamberg, Stadt",168.2
09462,"Bayreuth, Stadt",175.5
09463,"Coburg, Stadt",129.9
09464,"Hof, Stadt",107.5
09471,Bamberg,0
09472,Bayreuth,0
09473,Coburg,0
09474,Forchheim,0
09475,Hof,3.5
09476,Kronach,0
09477,Kulmbach,0
09478,Lichtenfels,0
09479,Wunsiedel i.Fichtelgebirge,0
09561,"Ansbach, Stadt",69.7
09562,"Erlangen, Stadt",261.5
09563,"Fürth, Stadt",1.2
09564,"Nürnberg, Stadt",50.5
09565,"Schwabach, Stadt",0
09571,Ansbach,12.7
09572,Erlangen-Höchstadt,0
09573,Fürth,0
09574,Nürnberger Land,0
09575,Neustadt a.d.Aisch-Bad Windsheim,0
09576,Roth,0
09577,Weißenburg-Gunzenhausen,0
09661,"Aschaffenburg, Stadt",47.1
09662,"Schweinfurt, Stadt",51.6
09663,"Würzburg, Stadt",274.5
09671,Aschaffenburg,0
09672,Bad Kissingen,0
09673,Rhön-Grabfeld,0
09674,Haßberge,0
09675,Kitzingen,0
09676,Miltenberg,0
09677,Main-Spessart,0
09678,Schweinfurt,0
09679,Würzburg,0
09761,"Augsburg, Stadt",90.9
09762,"Kaufbeuren, Stadt",9.5
09763,"Kempten (Allgäu), Stadt",87.6
09764,"Memmingen, Stadt",0
09771,Aichach-Friedberg,0
09772,Augsburg,0
09773,Dillingen a.d.Donau,0
09774,Günzburg,0
09775,Neu-Ulm,22.4
09776,Lindau (Bodensee),0
09777,Ostallgäu,0
09778,Unterallgäu,0
09779,Donau-Ries,0
09780,Oberallgäu,0
10041,Regionalverband Saarbrücken,95
10042,Merzig-Wadern,0
10043,Neunkirchen,0
10044,Saarlouis,0
10045,Saarpfalz-Kreis,0
10046,St. Wendel,0
11000,"Berlin, Stadt",52
12051,"Brandenburg an der Havel, Stadt",36.7
12052,"Cottbus, Stadt",61.5
12053,"Frankfurt (Oder), Stadt",113.5
12054,"Potsdam, Stadt",143.6
12060,Barnim,11.9
12061,Dahme-Spreewald,25.3
12062,Elbe-Elster,0
12063,Havelland,0.5
12064,Märkisch-Oderland,0
12065,Oberhavel,3
12066,Oberspreewald-Lausitz,12.4
12067,Oder-Spree,0
12068,Ostprignitz-Ruppin,2.7
12069,Potsdam-Mittelmark,0
12070,Prignitz,0
12071,Spree-Neiße,0
12072,Teltow-Fläming,0
12073,Uckermark,0
13003,"Rostock, Stadt",71.8
13004,"Schwerin, Stadt",7.7
13071,Mecklenburgische Seenplatte,8.3
13072,Landkreis Rostock,2.5
13073,Vorpommern-Rügen,9.6
13074,Nordwestmecklenburg,53.5
13075,Vorpommern-Greifswald,43.2
13076,Ludwigslust-Parchim,0
14511,"Chemnitz, Stadt",42.5
14521,Erzgebirgskreis,0.5
14522,Mittelsachsen,36.3
14523,Vogtlandkreis,0
14524,Zwickau,12.5
14612,"Dresden, Stadt",71.1
14625,Bautzen,0.4
14626,Görlitz,14
14627,Meißen,3.2
14628,Sächsische Schweiz-Osterzgebirge,2.9
14713,"Leipzig, Stadt",67.2
14729,Leipzig,0
14730,Nordsachsen,0
15001,"Dessau-Roßlau, Stadt",15.1
15002,"Halle (Saale), Stadt",88.9
15003,"Magdeburg, Stadt",75
15081,Altmarkkreis Salzwedel,0
15082,Anhalt-Bitterfeld,14.9
15083,Börde,0
15084,Burgenlandkreis,0
15085,Harz,14.1
15086,Jerichower Land,1.6
15087,Mansfeld-Südharz,0
15088,Saalekreis,15.3
15089,Salzlandkreis,20.4
15090,Stendal,16.3
15091,Wittenberg,0
16051,"Erfurt, Stadt",46.2
16052,"Gera, Stadt",19.3
16053,"Jena, Stadt",196.5
16054,"Suhl, Stadt",0
16055,"Weimar, Stadt",70.9
16056,"Eisenach, Stadt",13.1
16061,Eichsfeld,0
16062,Nordhausen,28.5
16063,Wartburgkreis,0
16064,Unstrut-Hainich-Kreis,0
16065,Kyffhäuserkreis,0
16066,Schmalkalden-Meiningen,20.8
16067,Gotha,3.1
16068,Sömmerda,0
16069,Hildburghausen,0
16070,Ilm-Kreis,53.4
16071,Weimarer Land,0
16072,Sonneberg,0
16073,Saalfeld-Rudolstadt,0
16074,Saale-Holzland-Kreis,0
16075,Saale-Orla-Kreis,0
16076,Greiz,0
16077,Altenburger Land,0
