nr,name,studierende_fh
09161,"Ingolstadt, Stadt",40.1
09162,"München, Stadt",21
09163,"Rosenheim, Stadt",86.2
09171,Altötting,1.6
09172,Berchtesgadener Land,0
09173,Bad Tölz-Wolfratshausen,5
09174,Dachau,0
09175,Ebersberg,0
09176,Eichstätt,0
09177,Erding,0
09178,Freising,22.6
09179,Fürstenfeldbruck,0
09180,Garmisch-Partenkirchen,0
09181,Landsberg am Lech,0
09182,Miesbach,0
09183,Mühldorf a.Inn,2.4
09184,München,9
09185,Neuburg-Schrobenhausen,0
09186,Pfaffenhofen a.d.Ilm,0
09187,Rosenheim,0
09188,Starnberg,0
09189,Traunstein,0
09190,Weilheim-Schongau,0
09261,"Landshut, Stadt",69.2
09262,"Passau, Stadt",0
09263,"Straubing, Stadt",5
09271,Deggendorf,54.1
09272,Freyung-Grafenau,0
09273,Kelheim,0
09274,Landshut,0
09275,Passau,0
09276,Regen,0
09277,Rottal-Inn,0
09278,Straubing-Bogen,0
09279,Dingolfing-Landau,0
09361,"Amberg, Stadt",39.3
09362,"Regensburg, Stadt",75.1
09363,"Weiden i.d.OPf., Stadt",33.7
09371,Amberg-Sulzbach,0
09372,Cham,0
09373,Neumarkt i.d.OPf.,0
09374,Neustadt a.d.Waldnaab,0
09375,Regensburg,0
09376,Schwandorf,0
09377,Tirschenreuth,0
09461,"Bamberg, Stadt",4.2
09462,"Bayreuth, Stadt",0
09463,"Coburg, Stadt",129.9
09464,"Hof, Stadt",64.7
09471,Bamberg,0
09472,Bayreuth,0
09473,Coburg,0
09474,Forchheim,0
09475,Hof,3.5
09476,Kronach,0
09477,Kulmbach,0
09478,Lichtenfels,0
09479,Wunsiedel i.Fichtelgebirge,0
09561,"Ansbach, Stadt",69.7
09562,"Erlangen, Stadt",0
09563,"Fürth, Stadt",1.2
09564,"Nürnberg, Stadt",30.4
09565,"Schwabach, Stadt",0
09571,Ansbach,11.8
09572,Erlangen-Höchstadt,0
09573,Fürth,0
09574,Nürnberger Land,0
09575,Neustadt a.d.Aisch-Bad Windsheim,0
09576,Roth,0
09577,Weißenburg-Gunzenhausen,0
09661,"Aschaffenburg, Stadt",47.1
09662,"Schweinfurt, Stadt",51.6
09663,"Würzburg, Stadt",49.2
09671,Aschaffenburg,0
09672,Bad Kissingen,0
09673,Rhön-Grabfeld,0
09674,Haßberge,0
09675,Kitzingen,0
09676,Miltenberg,0
09677,Main-Spessart,0
09678,Schweinfurt,0
09679,Würzburg,0
09761,"Augsburg, Stadt",22.5
09762,"Kaufbeuren, Stadt",0
09763,"Kempten (Allgäu), Stadt",87.6
09764,"Memmingen, Stadt",0
09771,Aichach-Friedberg,0
09772,Augsburg,0
09773,Dillingen a.d.Donau,0
09774,Günzburg,0
09775,Neu-Ulm,22.4
09776,Lindau (Bodensee),0
09777,Ostallgäu,0
09778,Unterallgäu,0
09779,Donau-Ries,0
09780,Oberallgäu,0
10041,Regionalverband Saarbrücken,41.1
10042,Merzig-Wadern,0
10043,Neunkirchen,0
10044,Saarlouis,0
